name, link, rating, votes, year, releaseDate, genres, runtime, plot, image, imageCaption, metascore, certificate, status, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"Legends", "https://www.imdb.com/title/tt33265765/", "7.9", "18680", "2026", "7/5/2026", "Crime, Drama", "3600", "Customs agents go undercover to infiltrate Britain's most dangerous drug gangs, following a thrilling criminal investigation based on extensive research and interviews with those involved in the top-secret operation.", "https://m.media-amazon.com/images/M/MV5BYTI2NzI3OTgtNjJmNS00Yjk3LTliMTMtZDA1MWM4MDA0N2QzXkEyXkFqcGc@._V1_.jpg", "Tom Burke, Gerald Kyd, Numan Acar, Aml Ameen, Hayley Squires, and Jasmine Blackborow in Legends (2026)", "", "TV-MA", "Released", "gangster, drug, gangster crime, customs official, undercover", "GB", "18", "DOWN 7", "", "", "Tom Burke, Steve Coogan, Hayley Squires", "Tom Burke, Steve Coogan, Hayley Squires, Aml Ameen", "", "", "", "", "Morocco", "English", "Dolby Surround 7.1", "2.35 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Teach You a Lesson", "https://www.imdb.com/title/tt34809853/", "8.6", "5041", "2026", "5/6/2026", "Action, Drama", "", "The collapse of teachers' Authority, the establishment of the Teachers' Authority Protection Bureau under the Ministry of Education, and the dispatch of supervisors to problem schools to punish students and parents who cross the line.", "https://m.media-amazon.com/images/M/MV5BNzFjNmFjNzgtYmM0ZS00ODZmLWJiNTktOWNiYWZiMTE5MWRiXkEyXkFqcGc@._V1_.jpg", "Lee Sung-min, Kim Mu-yeol, Pyo Ji-hoon, and Jin Ki-joo in Teach You a Lesson (2026)", "", "TV-MA", "Released", "education, law, authority, school, teacher", "KR", "20", "UP 2018", "", "", "Kim Mu-yeol, Lee Sung-min, Jin Ki-joo", "Kim Mu-yeol, Lee Sung-min, Jin Ki-joo, Pyo Ji-hoon", "", "", "", "", "", "Korean", "Dolby Digital", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Star City", "https://www.imdb.com/title/tt32140872/", "6.9", "1649", "2026", "29/5/2026", "Drama, Sci-Fi", "", "Soviet cosmonauts, engineers, and intelligence officers risk everything in an ambitious space program aiming to be the first to reach the moon.", "https://m.media-amazon.com/images/M/MV5BYTA0ZmE5ODQtNDYyZS00NTIzLWEzZTEtZDAwYjEzZmJkYjI2XkEyXkFqcGc@._V1_.jpg", "Eadie Johnson in Star City (2026)", "", "TV-MA", "Released", "space program, alternate history, space race, moon, rocket launch", "US", "30", "DOWN 16", "", "", "Rhys Ifans, Anna Maxwell Martin, Agnes O'Casey", "Rhys Ifans, Anna Maxwell Martin, Agnes O'Casey, Ruby Ashbourne Serkis", "", "", "", "", "Vilnius, Lithuania", "English", "", "2.35 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"The Testaments", "https://www.imdb.com/title/tt10970762/", "8.3", "9812", "2026", "8/4/2026", "Drama, Thriller", "3600", "This sequel to "The Handmaid's Tale" follows Agnes and Daisy, two teens in Gilead who must navigate an elite preparatory school where obedience is brutally enforced. Their bond becomes the catalyst that will transform their lives.", "https://m.media-amazon.com/images/M/MV5BMjZhODhiYmEtNTg0ZS00Mjc0LTk0NTYtMGEwMGFlNjFkZGM0XkEyXkFqcGc@._V1_.jpg", "Lucy Halliday and Chase Infiniti in The Testaments (2026)", "", "TV-MA", "Released", "sequel to tv series, dystopia, epic, the future, adult fiction", "US", "34", "DOWN 16", "", "", "Chase Infiniti, Lucy Halliday, Mabel Li", "Chase Infiniti, Lucy Halliday, Mabel Li, Brad Alexander", "", "", "", "", "Toronto, Ontario, Canada", "English", "Dolby Digital", "2.00 : 1", "Color", "1", "0", "TV Series", "True", "False", "False"
"Marshals", "https://www.imdb.com/title/tt36849871/", "6.1", "14337", "2026", "1/3/2026", "Action, Crime, Drama", "", "Ex-Navy SEAL Kayce Dutton leaves the Yellowstone ranch to work with an elite U.S. Marshals team.", "https://m.media-amazon.com/images/M/MV5BOTk4NThjNzgtMjVjNi00MjdjLWE1NDctMzRhNTI1Y2RiN2NkXkEyXkFqcGc@._V1_.jpg", "Luke Grimes in Marshals (2026)", "", "TV-14", "Released", "yellowstone franchise, police investigation, united states of america, law enforcement, widower", "US", "38", "DOWN 19", "", "", "Luke Grimes, Ash Santos, Tatanka Means", "Luke Grimes, Ash Santos, Tatanka Means, Logan Marshall-Green", "", "", "", "", "Park city, Utah, USA", "English", "Stereo", "16:9 HD", "Color", "0", "0", "TV Series", "True", "False", "False"
"Nemesis", "https://www.imdb.com/title/tt36022742/", "6", "4177", "2026", "14/5/2026", "Action, Crime, Drama", "3600", "LA crime drama pits master thief Coltrane Wilder against detective Isaiah Stiles, challenging heist genre norms while examining what drives, sustains and destroys people.", "https://m.media-amazon.com/images/M/MV5BMGYzNjUyYWYtNDg2NC00NzAxLTlkMDUtMmYxZWZmZmYzYmZjXkEyXkFqcGc@._V1_.jpg", "Nemesis (2026)", "", "TV-MA", "Released", "", "US", "47", "DOWN 19", "", "", "Tre Hale, Cleopatra Coleman, Matthew Law", "Tre Hale, Cleopatra Coleman, Matthew Law, Domenick Lombardozzi", "", "", "", "", "Los Angeles, California, USA", "English", "Dolby Atmos", "16:9 HD", "Color", "0", "0", "TV Series", "True", "False", "False"
"Maximum Pleasure Guaranteed", "https://www.imdb.com/title/tt35946742/", "7", "1718", "2026", "20/5/2026", "Comedy, Drama, Mystery", "2400", "A divorced mom gets caught up in a perilous web of blackmail, murder, and youth soccer.", "https://m.media-amazon.com/images/M/MV5BZDA5NjZkM2MtYTFlMC00MGRhLWIwMGMtNTgyYzllYzUyNDY1XkEyXkFqcGc@._V1_.jpg", "Tatiana Maslany in Maximum Pleasure Guaranteed (2026)", "", "TV-MA", "Released", "male wears underwear, murder mystery, whodunnit mystery, male rear nudity, male nudity", "US", "51", "DOWN 14", "", "", "Tatiana Maslany, Jake Johnson, Jessy Hodges", "Tatiana Maslany, Jake Johnson, Jessy Hodges, Jon Michael Hill", "", "", "", "", "New York City, New York, USA", "English", "Stereo", "16:9 HD", "Color", "0", "0", "TV Series", "True", "False", "False"
"Margo's Got Money Troubles", "https://www.imdb.com/title/tt31137273/", "7.3", "11181", "2026", "15/4/2026", "Comedy, Drama", "2400", "A young mother struggles to make ends meet. When her estranged father offers help, she starts an OnlyFans account using his advice from pro wrestling. Though successful, she wonders if Internet fame comes at too high a cost.", "https://m.media-amazon.com/images/M/MV5BOTI2NDRhZWUtZDQwOC00OTk1LTk3Y2QtNmFlZjczOTMyZjM5XkEyXkFqcGc@._V1_.jpg", "Margo's Got Money Troubles (2026)", "", "TV-MA", "Released", "onlyfans, coming of age, humor, contemporary, adult fiction", "US", "58", "DOWN 24", "", "", "Elle Fanning, Nick Offerman, Greg Kinnear", "Elle Fanning, Nick Offerman, Greg Kinnear, Michelle Pfeiffer", "", "", "", "", "Fox Fullerton Theatre 510 N. Harbor Blvd. Fullerton, California, USA", "English", "Dolby Atmos", "2.20 : 1", "Color", "0", "2", "TV Series", "True", "False", "False"
"The Madison", "https://www.imdb.com/title/tt33204276/", "7.8", "19769", "2026", "14/3/2026", "Drama", "", "A New York family's life unravels after a tragedy; they process their grief while vacationing in rural Montana, where they explore human connection amid their profound sorrow.", "https://m.media-amazon.com/images/M/MV5BZGFiODdjY2UtNzAxZC00Mjc3LWJiZTQtYzQ2ZTM3ZWMzNjk0XkEyXkFqcGc@._V1_.jpg", "Michelle Pfeiffer in The Madison (2026)", "", "TV-MA", "Released", "yellowstone franchise, montana, ranch, legacy, family dynasty", "US", "64", "DOWN 6", "", "", "Michelle Pfeiffer, Kurt Russell, Beau Garrett", "Michelle Pfeiffer, Kurt Russell, Beau Garrett, Patrick J. Adams", "", "", "", "", "Bozeman, Montana, USA", "English", "Dolby Surround 5.1", "2.39 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"A Knight of the Seven Kingdoms", "https://www.imdb.com/title/tt27497448/", "8.7", "253119", "2026", "18/1/2026", "Adventure, Drama, Fantasy", "3600", "A century before the events of "Game of Thrones", Ser Duncan the Tall, and his squire, Egg, wander through Westeros while the Targaryen dynasty rule the Iron Throne. Great destinies and enemies await the incomparable friends.", "https://m.media-amazon.com/images/M/MV5BYzg4M2U3YWMtMWY4MS00MzFkLTk2ZWQtOThiOGYxZDEyMGQ2XkEyXkFqcGc@._V1_.jpg", "Dexter Sol Ansell and Peter Claffey in A Knight of the Seven Kingdoms (2026)", "", "TV-MA", "Released", "prequel, based on novella, westeros, game of thrones, knight", "US", "73", "DOWN 20", "", "", "Peter Claffey, Dexter Sol Ansell, Daniel Ings", "Peter Claffey, Dexter Sol Ansell, Daniel Ings, Shaun Thomas", "", "", "", "", "Mourne Mountains, County Down, Northern Ireland, UK", "English", "Dolby Atmos", "2.00 : 1", "Color", "0", "3", "TV Series", "True", "False", "False"
"Man on Fire", "https://www.imdb.com/title/tt27331527/", "6.7", "11498", "2026", "30/4/2026", "Action, Crime, Drama", "3000", "Follows John Creasy, a wounded former mercenary on a quest to get revenge for the loss of his only companion while defending the daughter of his dead colleague from the forces that tore her family apart.", "https://m.media-amazon.com/images/M/MV5BZjFlMTMyZTAtY2NiZS00NzdjLWEwZTUtNDJjYjI4ZmU4NTBiXkEyXkFqcGc@._V1_.jpg", "Yahya Abdul-Mateen II in Man on Fire (2026)", "", "TV-MA", "Released", "based on film, mafia, daughter, kidnapping, bodyguard", "US", "76", "DOWN 34", "", "", "Yahya Abdul-Mateen II, Billie Boullet, Scoot McNairy", "Yahya Abdul-Mateen II, Billie Boullet, Scoot McNairy, Alice Braga", "", "", "", "", "Rio de Janeiro, Brazil", "English", "Dolby Digital", "2.39 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Brown", "https://www.imdb.com/title/tt26766517/", "6.7", "2364", "2026", "5/6/2026", "Crime, Drama, Thriller", "3000", "Rita Brown, A disgraced alcoholic ex police officer and her mourning junior partner must confront their own personal struggles as they join forces to hunt down a serial killer targeting women from diverse backgrounds in Kolkata.", "https://m.media-amazon.com/images/M/MV5BMzZhYTY5NDUtNDZiYi00Yjg3LTg5N2MtNTY4MTg2YTg3NGMzXkEyXkFqcGc@._V1_.jpg", "Brown (2026)", "", "", "Released", "", "IN", "77", "UP 2700", "", "", "Latin Ghai, Karisma Kapoor, Jisshu Sengupta", "Latin Ghai, Karisma Kapoor, Jisshu Sengupta, Helen", "", "", "", "", "", "Hindi", "Dolby Digital", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Rooster", "https://www.imdb.com/title/tt32420734/", "7.6", "17358", "2026", "8/3/2026", "Comedy, Drama", "", "A comedy revolving around an author's intricate bond with his daughter, set against the backdrop of a college campus.", "https://m.media-amazon.com/images/M/MV5BOGEwYjMxNDctMDhlYy00YTJhLTk0YTAtOWVjOTJhYzIyZTEyXkEyXkFqcGc@._V1_.jpg", "Steve Carell in Rooster (2026)", "", "TV-MA", "Released", "male rear nudity, male nudity, male protagonist, bare chested male, man wrapped in a towel", "US", "79", "DOWN 27", "", "", "Steve Carell, Danielle Deadwyler, Phil Dunster", "Steve Carell, Danielle Deadwyler, Phil Dunster, Charly Clive", "", "", "", "", "University of the Pacific, Stockton, California, USA", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"M.I.A.", "https://www.imdb.com/title/tt33253070/", "6.4", "2580", "2026", "7/5/2026", "Crime, Drama, Thriller", "3600", "Etta Tiger Jonze seeks to avenge her family's murder and become the most powerful crime queenpin in South Florida.", "https://m.media-amazon.com/images/M/MV5BYzA5NjAxMGItNTE5ZC00ZDhmLTk2NzEtYmUzZWNkNjllMzA2XkEyXkFqcGc@._V1_.jpg", "Shannon Gisela in M.I.A. (2026)", "", "TV-14", "Released", "male nudity, male rear nudity", "US", "87", "DOWN 32", "", "", "Shannon Gisela, Brittany Adebumola, Dylan T Jackson", "Shannon Gisela, Brittany Adebumola, Dylan T Jackson, Alberto Guerra", "", "", "", "", "Miami, Florida, USA", "English", "Stereo", "16:9 HD", "Color", "0", "0", "TV Series", "True", "False", "False"
"Made in India: A Titan Story", "https://www.imdb.com/title/tt35674465/", "8.6", "8993", "2026", "3/6/2026", "Biography, Drama, History", "3000", "A visionary man Xerxes Desai with his team turns humiliation into history by building India's first world-class watch brand, proving that time itself can be reclaimed through courage, failure, and innovation.", "https://m.media-amazon.com/images/M/MV5BMGUwNjA2ZWUtMmYxNC00MTJhLThhZjctMTUwYThiYzRjNDBlXkEyXkFqcGc@._V1_.jpg", "Made in India: A Titan Story (2026)", "", "", "Released", "workplace drama, docudrama drama, period drama, watch company", "IN", "96", "UP 1713", "", "", "Naseeruddin Shah, Jim Sarbh, Vaibhav Tatwawadi", "Naseeruddin Shah, Jim Sarbh, Vaibhav Tatwawadi, Namita Dubey", "", "", "", "", "", "Hindi", "Dolby Digital", "2.00 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"The Wonderfools", "https://www.imdb.com/title/tt34440854/", "7.7", "5565", "2026", "15/5/2026", "Action, Adventure, Comedy", "3600", "A group of awkward townies who unexpectedly gain superpowers and fight villains threatening the peace of Haeseong city.", "https://m.media-amazon.com/images/M/MV5BOTVmZjJlYjQtZDI1My00MzIxLTliYTMtMGE5MjY0YjE5YzUzXkEyXkFqcGc@._V1_.jpg", "Im Sung-jae, Park Eun-bin, Choi Dae-hoon, and Cha Eun-woo in The Wonderfools (2026)", "", "TV-14", "Released", "hero, superhero sci fi, superhero, team action, superpower", "KR", "129", "DOWN 60", "", "", "Park Eun-bin, Cha Eun-woo, Kim Hae-sook", "Park Eun-bin, Cha Eun-woo, Kim Hae-sook, Choi Dae-hoon", "", "", "", "", "Seoul, South Korea", "Korean", "Dolby Digital", "2.00 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"World War II with Tom Hanks", "https://www.imdb.com/title/tt40385200/", "7.7", "658", "2026", "25/5/2026", "Documentary, History, War", "", "Explores WWII from Germany's invasion of Poland through the atomic age, examining pivotal battles, wartime leaders like Churchill and Roosevelt, and the human cost of total war.", "https://m.media-amazon.com/images/M/MV5BMDJmOGQ3YTktYzg2Mi00YjRkLWFlYjEtMGEyYTA1MTM2NzIwXkEyXkFqcGc@._V1_.jpg", "World War II with Tom Hanks (2026)", "", "", "Released", "", "US", "139", "DOWN 22", "", "", "Tom Hanks, Robert Citino, Dan Carlin", "Tom Hanks, Robert Citino, Dan Carlin, Franklin D. Roosevelt", "", "", "", "", "", "English", "", "", "Color, Black and White", "0", "0", "TV Series", "True", "False", "False"
"Ponies", "https://www.imdb.com/title/tt33270420/", "7.1", "10721", "2026", "15/1/2026", "Drama, Thriller", "", "In 1970s Moscow, two secretaries at the American embassy become CIA operatives after their husbands are killed, uncovering a Cold War conspiracy behind the tragedy.", "https://m.media-amazon.com/images/M/MV5BNWRlN2Y1NTYtNmRjZC00OWU0LWFhOGItZWFlODQxOTQyNzliXkEyXkFqcGc@._V1_.jpg", "Emilia Clarke and Haley Lu Richardson in Ponies (2026)", "", "TV-MA", "Released", "pretty woman, male nudity, male rear nudity, male full frontal nudity, spy thriller", "US", "140", "DOWN 24", "", "", "Emilia Clarke, Haley Lu Richardson, Adrian Lester", "Emilia Clarke, Haley Lu Richardson, Adrian Lester, Artjom Gilz", "", "", "", "", "Budapest, Hungary", "English", "", "1.50 : 1", "Color", "0", "1", "TV Series", "True", "False", "False"
"The Other Bennet Sister", "https://www.imdb.com/title/tt37022512/", "8.3", "6136", "2026", "6/5/2026", "Drama, Romance", "1800", "Mary leaves her sisters' shadows to find herself, embarking on a journey from Meryton to London and the Lake District. Her quest for independence leads to an unexpected love story in Regency-era England.", "https://m.media-amazon.com/images/M/MV5BMWQ1NTU2MDktY2E0MC00NjU3LWE2YWYtOGYyMDI1MGFhZjY4XkEyXkFqcGc@._V1_.jpg", "Ella Bruccoleri in The Other Bennet Sister (2026)", "", "", "Released", "", "GB", "141", "DOWN 28", "", "", "Ella Bruccoleri, Indira Varma, Ruth Jones", "Ella Bruccoleri, Indira Varma, Ruth Jones, Laurie Davidson", "", "", "", "", "Dyffryn House and Gardens, Dyffryn, Wales, UK", "English", "Stereo", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Every Year After", "https://www.imdb.com/title/tt33055254/", "6.4", "1476", "2026", "10/6/2026", "Drama, Romance", "", "Two lifelong friends explore the enduring question - what if your first love was destined to be your soulmate? A sweeping romantic tale about love's timeless possibilities.", "https://m.media-amazon.com/images/M/MV5BODJmYjdlMGEtZTVhZS00MDAyLTkxMDMtZWJmMDFhMmQ2ODgyXkEyXkFqcGc@._V1_.jpg", "Sadie Soverall and Matt Cornett in Every Year After (2026)", "", "TV-MA", "Released", "", "US", "149", "UP 217", "", "", "Sadie Soverall, Matt Cornett, Aurora Perrineau", "Sadie Soverall, Matt Cornett, Aurora Perrineau, Abigail Cowen", "", "", "", "", "Vancouver, British Columbia, Canada", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Star Wars: Maul - Shadow Lord", "https://www.imdb.com/title/tt36594331/", "8.6", "25775", "2026", "6/4/2026", "Animation, Action, Adventure", "1320", "After the Clone Wars, Maul plots to rebuild his criminal syndicate on a planet untouched by the Empire.", "https://m.media-amazon.com/images/M/MV5BMmUzZWRkOGMtOGM2OC00ODk0LWFjZjUtMjUyOGRjYzgwYjdjXkEyXkFqcGc@._V1_.jpg", "Steve Blum, Wagner Moura, Sam Witwer, Richard Ayoade, and A.J. LoCascio in Star Wars: Maul - Shadow Lord (2026)", "", "TV-PG", "Released", "darth maul character, galactic empire era, space opera sci fi, 3d animation, computer animation", "US", "156", "DOWN 55", "", "", "Sam Witwer, Dennis Haysbert, Gideon Adlon", "Sam Witwer, Dennis Haysbert, Gideon Adlon, Richard Ayoade", "", "", "", "", "", "English", "Dolby Atmos", "2.35 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"You're Killing Me", "https://www.imdb.com/title/tt36460202/", "6.3", "437", "2026", "18/5/2026", "Crime, Drama, Mystery", "", "A bestselling novelist and an aspiring writer join forces to solve her friend's murder, forming an unexpected partnership as they search for the killer.", "https://m.media-amazon.com/images/M/MV5BODYyZmViMzYtNjlmYy00ZWFmLTkyNzctMzFkMDI2NWE4NjQ2XkEyXkFqcGc@._V1_.jpg", "You're Killing Me (2026)", "", "", "Released", "", "CA", "157", "UP 19", "", "", "Brooke Shields, Amalia Williamson, Tom Cavanagh", "Brooke Shields, Amalia Williamson, Tom Cavanagh, Laura Kohoot", "", "", "", "", "Halifax, Nova Scotia, Canada", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Two Years Later", "https://www.imdb.com/title/tt37403273/", "7.6", "258", "2026", "4/6/2026", "Drama", "", "Daily bus flirtations between Emily and Ryan end with COVID. Two years later, they reunite and embark on eight dates to test marriage compatibility, facing personal challenges and differing views while finding true connection.", "https://m.media-amazon.com/images/M/MV5BNWE5NzI3M2UtMjRkYS00NDc1LWE4MTEtODcxMjBhM2QwYzgyXkEyXkFqcGc@._V1_.jpg", "Phoebe Tonkin and Brenton Thwaites in Two Years Later (2026)", "", "", "Released", "", "AU", "159", "UP 1444", "", "", "Brenton Thwaites, Phoebe Tonkin, Heather Mitchell", "Brenton Thwaites, Phoebe Tonkin, Heather Mitchell, Roy Billing", "", "", "", "", "Brisbane, Queensland, Australia", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
